HEADER
﻿0.7460;(991.8339,1194.2636,222.5121);(1.7500,-2.6830,-34.1467);
﻿0.8020;(991.8112,1195.0607,222.6284);(2.1361,-2.0001,-29.9250);
﻿0.8430;(991.6681,1195.5030,222.5593);(2.4671,-2.2206,-27.1993);
﻿0.8990;(991.3458,1195.8980,222.5413);(2.5065,-3.0380,-24.0069);
﻿0.9410;(991.0434,1195.9153,222.4715);(2.2541,-3.8654,-22.4020);
﻿0.9970;(990.5095,1195.5308,222.3653);(1.9248,-4.5813,-21.8395);
﻿1.0530;(990.0021,1195.1179,222.3363);(2.1296,-4.7686,-22.0283);
﻿1.0940;(989.7451,1194.9273,222.3767);(1.9643,-5.4661,-20.4961);
﻿1.1500;(989.2008,1194.2778,222.4775);(1.8776,-5.7032,-20.6557);
﻿1.1920;(988.6366,1193.3993,222.5101);(1.9868,-5.8780,-23.7991);
﻿1.2480;(987.7078,1191.8005,222.3910);(1.4995,-6.6394,-30.9558);
﻿1.3030;(986.4578,1190.0842,222.1507);(1.4094,-7.9265,-40.4661);
﻿1.3450;(985.3726,1188.8180,221.8979);(1.2728,-9.0580,-48.2281);
﻿1.4010;(983.8025,1187.4701,221.5647);(1.1461,-10.6233,-58.1110);
﻿1.4420;(982.5663,1186.6495,221.3506);(0.7390,-11.5169,-64.8767);
﻿1.4980;(981.4060,1186.1627,221.1890);(0.5584,-12.2173,-71.2426);
﻿1.5540;(980.2595,1185.8290,221.1129);(-0.5005,-12.2561,-76.2719);
﻿1.5960;(979.4716,1185.7075,221.0234);(-0.6864,-12.5195,-80.4691);
﻿1.6520;(978.6325,1185.7310,220.9188);(-0.4106,-12.8874,-85.8410);
﻿1.6930;(978.0929,1185.7626,220.8828);(-0.9112,-12.9013,-89.1176);
﻿1.7490;(977.2116,1185.9251,220.8078);(-1.2286,-13.0411,-95.1769);
﻿1.7910;(976.3557,1186.1259,220.7427);(-1.3805,-13.1927,-101.2503);
﻿1.8470;(975.3358,1186.5038,220.6909);(-1.3857,-13.1151,-109.6159);
﻿1.9020;(974.8643,1186.7233,220.6917);(-1.8024,-12.2824,-114.7709);
﻿1.9440;(974.7694,1186.7773,220.7744);(-2.5592,-11.6637,-116.0571);
﻿2.0000;(974.7969,1186.6520,220.9788);(-2.7559,-10.2694,-116.3096);
﻿2.0420;(974.7689,1186.4294,221.0879);(-3.1823,-8.7771,-115.9391);
﻿2.0970;(974.6071,1185.9662,221.1108);(-2.8169,-7.4404,-115.4589);
﻿2.1530;(974.1767,1185.4142,220.9531);(-2.3107,-7.0113,-115.0032);
﻿2.1950;(973.6576,1184.8981,220.9331);(-2.0341,-6.9153,-114.6282);
﻿2.2510;(972.7028,1184.1503,221.1063);(-2.1849,-6.4187,-114.2924);
﻿2.2920;(971.8728,1183.5336,221.3528);(-1.9692,-5.9999,-114.0072);
﻿2.3480;(970.6156,1182.6139,221.6518);(-1.6174,-5.1989,-113.6364);
﻿2.4040;(969.3124,1181.6831,221.8090);(-1.1389,-4.8458,-113.1271);
﻿2.4450;(968.2685,1181.0155,221.8544);(-1.1046,-4.7187,-113.3677);
﻿2.5020;(966.8359,1180.1913,221.9259);(-0.9916,-4.6680,-114.4378);
﻿2.5440;(965.6932,1179.6786,221.9208);(-0.9379,-4.5157,-116.4270);
﻿2.5990;(964.1623,1179.1002,221.9407);(-0.9817,-4.4589,-120.2697);
﻿2.6410;(963.1054,1178.7766,221.9984);(-1.1467,-4.5958,-123.7884);
﻿2.6960;(961.8117,1178.4226,222.0965);(-1.5160,-4.5864,-128.6592);
﻿2.7520;(960.7704,1178.0827,222.1508);(-1.7931,-4.5649,-133.1817);
﻿2.7940;(960.1684,1177.7780,222.1428);(-1.9793,-4.5880,-136.2976);
﻿2.8500;(959.6433,1177.2608,222.0212);(-1.7509,-5.4905,-139.7070);
﻿2.8920;(959.4324,1176.7989,221.9401);(-1.4737,-6.0776,-141.8907);
﻿2.9470;(959.3816,1176.1284,221.7646);(-1.3138,-6.8086,-144.4068);
﻿3.0030;(959.4171,1175.4486,221.7550);(-1.1694,-7.2139,-147.0272);
﻿3.0440;(959.4941,1175.1607,221.7771);(-1.6924,-7.5869,-149.8051);
﻿3.1000;(959.4671,1175.1365,221.8525);(-1.7487,-7.7039,-156.3264);
﻿3.1420;(959.5744,1175.1643,221.9023);(-1.7747,-7.8636,-160.8488);
﻿3.1980;(959.9029,1175.0959,221.9504);(-1.7529,-7.7808,-165.5254);
﻿3.2540;(960.2979,1174.8529,221.9924);(-1.7534,-7.5816,-168.6317);
﻿3.2960;(960.6384,1174.5763,221.9879);(-1.5683,-7.5209,-170.0656);
﻿3.3520;(961.0969,1174.1605,221.9600);(-1.3854,-7.6255,-171.3882);
﻿3.3930;(961.4263,1173.8485,221.9383);(-1.1844,-7.6325,-172.1840);
﻿3.4480;(961.8304,1173.4538,221.9208);(-1.1562,-7.4682,-173.0540);
﻿3.5040;(962.1669,1173.0681,221.9135);(-1.1144,-7.4544,-173.9313);
﻿3.5460;(962.4107,1172.7984,221.9083);(-1.0154,-7.5282,-174.5291);
﻿3.6020;(962.7086,1172.4350,221.9009);(-0.8859,-7.5696,-175.1030);
﻿3.6430;(962.8808,1172.1507,221.9290);(-0.7599,-7.5137,-175.1937);
﻿3.7000;(963.0863,1171.8046,221.9217);(-0.5885,-7.4251,-175.1741);
﻿3.7410;(963.2058,1171.5257,221.8786);(-0.4299,-7.4757,-174.8096);
﻿3.7970;(963.3792,1171.1390,221.8015);(-0.3012,-7.7259,-173.9733);
﻿3.8520;(963.5275,1170.7767,221.6940);(-0.0985,-8.2260,-173.0173);
﻿3.8940;(963.6021,1170.4671,221.6142);(0.0491,-8.7423,-172.1296);
﻿3.9490;(963.6267,1170.0167,221.4503);(0.3666,-9.3271,-170.5571);
﻿3.9920;(963.5854,1169.6819,221.3113);(0.4811,-10.1696,-169.1850);
﻿4.0480;(963.4704,1169.2172,220.9460);(0.9805,-11.6273,-167.3718);
﻿4.1030;(963.3942,1168.6922,220.2817);(2.1084,-14.7068,-165.1418);
﻿4.1450;(963.3481,1168.2069,219.5498);(3.5588,-17.6112,-162.9872);
﻿4.2010;(963.3603,1167.4124,218.0879);(5.9029,-23.0664,-159.1821);
﻿4.2420;(963.5091,1166.7741,216.6187);(7.1270,-28.5466,-155.6677);
﻿4.2980;(963.7380,1165.9660,214.5242);(7.5798,-36.1931,-150.4414);
﻿4.3540;(963.8953,1165.1779,212.5252);(7.0442,-42.3080,-144.9123);
